Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
LE BOUCHE A OREILLE;Restaurant;Restauration rapide;;4 avenue Ernest Chevrier;;44730;;;SAINT-MICHEL-CHEF-CHEF;44182;47.180467;-2.149204;;;;;;;;;[B@2c135108;;;;;;;;;;;;;;;;;;;;;;;;;;47.180467, -2.149204;Loire-Atlantique
LE PERROQUET - RENAUDIÈRE;Restaurant;Cuisine traditionnelle;;;;44770;;;LA PLAINE-SUR-MER;44126;47.137401;-2.190495;;06 85 44 50 12;;;client.roytraiteur@orange.fr;;;;[B@6bbe9644;;;;;;;;;;;;;;;;;;;;;;;;;;47.137401, -2.190495;Loire-Atlantique
RESTAURANT PUB DE LA RIVIÈRE - L'ATELIER DES GOURMANDISES;Restaurant;Brasserie;;26 rue Emile Zola;Place du Moulin sous la Tour, Segré;49500;;;SEGRÉ-EN-ANJOU BLEU;49331;47.685809;-0.873048;;;02 41 61 45 12;;accueil@pubdelariviere.fr;;;"Facebook||https://www.facebook.com/PubDeLaRiviere ; Instagram||https://instagram.com/pub.de.la.riviere?igshid=YmMyMTA2M2Y=";[B@999de7b;;;;;oui;Bar à toutous;;Climatisation,Plats à emporter,Séminaire,Service en terrasse;50;3;80;1;3;;oui;oui;10;50;oui;"03/03/2023||31/12/2023||ouvert tous les jours sauf le jeudi. ||Ouverture à partir du 3 mars 2023. ||11:00||||||19:00||11:00||||||19:00||11:00||||||19:00||||||||||11:00||||||23:00||11:00||||||23:00||11:00||||||18:00 ; 01/01/2023||02/03/2023||||Fermeture annuelle du 1er janvier 2023 au 2 mars 2023.||||||||||||||||||||||||||||||||||||||||||||||||||||||||";LE PUB DE LA RIVIERE||02 41 61 45 12||accueil@pubdelariviere.fr;;;Plats à la carte||9,00||16,00||;Cartes bancaires,Espèces,Tickets Restaurant;47.685809, -0.873048;Maine-et-Loire
CRÊPERIE FLEUR DE SEL;;Crêperie;;3 rue de la Baclerie;;44000;;;NANTES;44109;47.2151076;-1.5532225;;;;;;http://www.fleur-de-sel.net;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/541830||||||;;;47.2151076, -1.5532225;Loire-Atlantique
CRÊPERIE JAUNE;Restaurant;Brasserie;;7 quai Jules Sandeau;;44510;;;LE POULIGUEN;44135;47.27769;-2.42828;;;02 40 42 33 22;;;;;;;;;;;oui;;;Service en terrasse,WiFi;45;;24;;;;oui;oui;;14;;"01/09/2022||16/10/2022||Fermeture annuelle du 17 octobre au 16 novembre 2022||||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00 ; 16/11/2022||31/12/2022||||||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00||12:00||15:00||18:45||22:00";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.27769, -2.42828;Loire-Atlantique
CRÊPERIE L'ESCALIER SAINT PIERRE;Restaurant;Crêperie;;25 place du marché;;49260;;;MONTREUIL BELLAY;49215;47.132177;-0.156046;;;02 41 52 36 31;;l-escalier-st-pierre@orange.fr;https://www.creperie-l-escalier-st-pierre.fr;;Facebook||https://fr-fr.facebook.com/Cr%C3%AAperie-lescalier-st-pierre-166021873457002/;;;;;;oui;;;Service en terrasse;25;1;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.132177, -0.156046;Maine-et-Loire
CRÊPERIE LE BLE NOIR;Restaurant;Crêperie;;28, Grande Rue;;72450;;;MONTFORT-LE-GESNOIS;72241;48.0483424;0.40431331;;;02 43 89 45 30;;creperie.ble.noir@orange.fr;;;;;;;;;oui;;;Plats à emporter;60;2;0;;0;;oui;oui;;25;oui;;BURON||02 43 89 45 30||creperie.ble.noir@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;48.0483424, 0.40431331;Sarthe
CRÊPERIE LE ROZELL;Restaurant;Crêperie;;Place de la Chope;;44420;;;PIRIAC-SUR-MER;44125;47.38077;-2.54696;;;02 40 15 50 15;;lerozell.piriac@gmail.com;;;;;;;;;;;Famille Plus;;30;;;;;;;;;;;02/04/2022||11/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.38077, -2.54696;Loire-Atlantique
CRÊPERIE LES 2 ÉPIS;;Crêperie;;Centre commercial Grand Maine;Rue du Grand Launay;49000;;;ANGERS;49007;47.46807;-0.59616;;;02 41 73 86 77;;madi2b@gmail.com;http://www.creperieles2epis.fr/;https://www.youtube.com/watch?v=rWHV9-Bnnbk;Facebook||https://www.facebook.com/creperie.epis;;;Le petit futé;;;oui;;;Climatisation,WiFi;110;;;;;;oui;oui;;;;"09/06/2021||31/12/2021||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00|||||||||||| ; 01/01/2022||31/12/2022||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00||||||11:45||22:00|||||||||||| ; 01/01/2023||31/12/2023||||||11:45||14:30||||||11:45||14:30||18:30||21:30||11:45||21:30||||||11:45||21:30||||||11:45||21:30||||||11:45||21:30||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.46807, -0.59616;Maine-et-Loire
CRÊPERIE MARIE MIL'GOULES;Restaurant;Crêperie;;7 impasse Toussaint;;49100;;;ANGERS;49007;47.46867;-0.55728;;;02 41 88 50 10;;creperiemariemilgoules@gmail.com;;;Facebook||https://fr-fr.facebook.com/creperiemariemilgoulesangers/;;;;;;;;;WiFi;35;1;20;;;;;;;;;"09/06/2021||31/12/2021||||||||||||||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45|||||||| ; 02/01/2022||23/07/2022||||||||||||||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||22:00||12:00||13:45||19:00||22:00|||||||| ; 24/08/2022||24/12/2022||||||||||||||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||22:00||12:00||13:45||19:00||22:00|||||||| ; 01/01/2023||31/12/2023||||||||||||||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||12:00||13:45||19:00||21:45||||||||";;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.46867, -0.55728;Maine-et-Loire
